City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port mathurin,-19.6833,63.4167,299.95,75,1,1.66,MU,1746490673
1,bredasdorp,-34.5322,20.0403,286.03,91,0,1.4,ZA,1746490674
2,puerto natales,-51.7236,-72.4875,276.01,88,100,1.12,CL,1746490676
3,labytnangi,66.6572,66.4183,268.21,94,69,1.9,RU,1746490677
4,aasiaat,68.7098,-52.8699,269.49,95,100,8.85,GL,1746490678
5,west island,-12.1568,96.8225,301.14,94,20,3.6,CC,1746490679
6,kuqa,41.7278,82.9364,296.21,19,97,2.9,CN,1746490680
7,agios nikolaos,35.1914,25.7133,290.24,76,34,2.72,GR,1746490681
8,olonkinbyen,70.9221,-8.7187,272.5,86,100,8.8,SJ,1746490683
9,blackmans bay,-43.0167,147.3167,291.22,65,100,0.89,AU,1746490684
10,berdigestyakh,62.0989,126.6992,275.81,56,27,2.8,RU,1746490685
11,igarka,67.4667,86.5833,274.76,96,100,3.0,RU,1746490686
12,puerto ayora,-0.7393,-90.3518,297.9,96,36,2.6,EC,1746490687
13,mogocha,53.7333,119.7667,280.7,40,21,0.37,RU,1746490688
14,st albans,51.75,-0.3333,279.4,84,100,2.57,GB,1746490690
15,ilulissat,69.2167,-51.1,271.16,86,100,6.69,GL,1746490673
16,adamstown,-25.066,-130.1015,297.36,73,46,4.02,PN,1746490692
17,bamusso,4.4591,8.9027,299.58,85,100,1.48,CM,1746490693
18,ishigaki,24.3448,124.1572,302.22,84,75,4.63,JP,1746490694
19,albany,42.6001,-73.9662,286.83,96,100,3.36,US,1746490408
20,ciudad lazaro cardenas,17.9583,-102.2,301.6,68,80,5.22,MX,1746490697
21,badger,64.8,-147.5333,283.35,63,75,7.2,US,1746490698
22,bilibino,68.0546,166.4372,269.58,67,3,1.5,RU,1746490699
23,nar'yan-mar,67.6713,53.087,274.32,99,100,5.31,RU,1746490700
24,thompson,55.7435,-97.8558,284.24,50,75,5.66,CA,1746490702
25,port-aux-francais,-49.35,70.2167,279.03,99,100,6.78,TF,1746490703
26,tshabong,-26.05,22.45,289.46,49,0,4.41,BW,1746490704
27,ust-nera,64.5667,143.2,273.43,87,99,2.2,RU,1746490705
28,gourdon,44.75,1.5,279.13,89,33,1.92,FR,1746490706
29,villa de arista,22.65,-100.8333,305.62,8,11,8.52,MX,1746490707
30,valle de la pascua,9.2155,-66.0073,302.04,61,41,1.85,VE,1746490709
31,otjiwarongo,-20.4637,16.6477,289.25,61,1,4.87,NA,1746490710
32,auki,-8.7676,160.7034,303.46,65,89,1.06,SB,1746490711
33,moskovskiy,55.5991,37.355,277.54,84,75,7.0,RU,1746490714
34,yellowknife,62.456,-114.3525,272.27,68,20,1.79,CA,1746490605
35,sibolga,1.7427,98.7792,298.68,81,95,1.23,ID,1746490456
36,isafjordur,66.0755,-23.124,277.69,88,89,3.14,IS,1746490718
37,st. john's,47.5649,-52.7093,274.8,79,40,6.69,CA,1746490719
38,chinchilla,-26.75,150.6333,295.38,66,59,1.79,AU,1746490720
39,lerwick,60.1545,-1.1494,281.69,82,100,5.39,GB,1746490721
40,avarua,-21.2078,-159.775,300.18,61,75,4.12,CK,1746490504
41,beyla,8.6833,-8.6333,294.43,92,100,1.23,GN,1746490724
42,colonia aurora,-27.4743,-54.525,296.79,61,47,0.68,AR,1746490725
43,noormarkku,61.5927,21.8685,277.03,93,100,3.09,FI,1746490726
44,al bayda',32.7627,21.7551,292.99,18,39,8.41,LY,1746490727
45,punta arenas,-53.15,-70.9167,279.21,81,0,5.66,CL,1746490728
46,turpan,42.9333,89.1667,298.23,19,100,1.68,CN,1746490731
47,college,64.8569,-147.8028,283.12,49,75,7.2,US,1746490733
48,ushuaia,-54.8,-68.3,275.96,87,75,3.09,AR,1746490503
49,grytviken,-54.2811,-36.5092,274.44,98,100,4.81,GS,1746490735
50,i-n-salah,27.1935,2.4607,302.91,13,100,3.72,DZ,1746490562
51,hermanus,-34.4187,19.2345,287.78,89,0,1.42,ZA,1746490738
52,edinburgh of the seven seas,-37.0676,-12.3116,290.08,81,100,15.31,SH,1746490739
53,saipan,15.1355,145.701,304.54,72,20,7.72,MP,1746490740
54,karratha,-20.7377,116.8463,299.93,27,19,5.98,AU,1746490741
55,waitangi,-43.9535,-176.5597,286.25,70,100,5.3,NZ,1746490742
56,luderitz,-26.6481,15.1594,293.19,52,0,3.12,NA,1746490743
57,qaqortoq,60.7167,-46.0333,271.9,89,68,1.1,GL,1746490744
58,bethel,41.3712,-73.414,288.23,91,100,2.24,US,1746490746
59,mogadishu,2.0371,45.3438,299.77,81,88,5.34,SO,1746490747
60,khorugh,37.4897,71.553,277.42,58,0,0.61,TJ,1746490748
61,jiuquan,39.7432,98.5174,290.66,19,79,1.93,CN,1746490749
62,illela,13.7292,5.2975,302.41,12,7,3.19,NG,1746490750
63,sitka,57.0531,-135.33,283.09,76,75,5.14,US,1746490752
64,hawaiian paradise park,19.5933,-154.9731,300.88,64,100,4.12,US,1746490753
